,날짜,종가,전일비,시가,고가,저가,거래량
564,2017.12.07,5020.0,75.0,5660.0,5660.0,4990.0,1344.0
565,2017.12.06,4945.0,95.0,5040.0,5040.0,4900.0,137.0
566,2017.12.05,5040.0,60.0,5000.0,5040.0,5000.0,358.0
567,2017.12.04,5100.0,100.0,5200.0,5200.0,5100.0,769.0
568,2017.12.01,5200.0,90.0,5350.0,5350.0,5200.0,1384.0
571,2017.11.30,5290.0,700.0,5600.0,5600.0,5200.0,2606.0
572,2017.11.29,5990.0,590.0,6580.0,6580.0,5600.0,6898.0
573,2017.11.28,6580.0,570.0,6910.0,6910.0,5160.0,25725.0
574,2017.11.27,6010.0,780.0,6010.0,6010.0,6010.0,31867.0
575,2017.11.24,5230.0,675.0,5230.0,5230.0,5230.0,19202.0
579,2017.11.23,4555.0,590.0,4555.0,4555.0,4555.0,6665.0
580,2017.11.22,3965.0,515.0,3560.0,3965.0,3560.0,2865.0
581,2017.11.21,3450.0,450.0,2900.0,3450.0,2900.0,3282.0
582,2017.11.20,3000.0,0.0,2990.0,3000.0,2705.0,8098.0
583,2017.11.17,3000.0,100.0,2900.0,3000.0,2635.0,6432.0
586,2017.11.16,3100.0,0.0,3140.0,3140.0,2950.0,2636.0
587,2017.11.15,3100.0,150.0,2950.0,3200.0,2950.0,1854.0
588,2017.11.14,2950.0,50.0,3000.0,3000.0,2800.0,894.0
589,2017.11.13,3000.0,0.0,2900.0,3000.0,2900.0,1370.0
590,2017.11.10,3000.0,0.0,2705.0,3100.0,2705.0,329.0
594,2017.11.09,3000.0,0.0,3000.0,3000.0,3000.0,11.0
595,2017.11.08,3000.0,110.0,3050.0,3050.0,2800.0,9594.0
596,2017.11.07,3110.0,545.0,3200.0,3200.0,3110.0,2211.0
597,2017.11.06,3655.0,475.0,3655.0,3655.0,3655.0,1.0
598,2017.11.03,3180.0,10.0,2930.0,3180.0,2930.0,1609.0
601,2017.11.02,3190.0,215.0,2975.0,3200.0,2900.0,1990.0
602,2017.11.01,2975.0,10.0,2980.0,2980.0,2800.0,1842.0
603,2017.10.31,2985.0,155.0,3085.0,3085.0,2700.0,15823.0
604,2017.10.30,2830.0,470.0,3000.0,3400.0,2805.0,4249.0
605,2017.10.27,3300.0,100.0,3300.0,3300.0,3200.0,1781.0
609,2017.10.26,3400.0,0.0,3300.0,3400.0,3200.0,985.0
610,2017.10.25,3400.0,0.0,3300.0,3400.0,3300.0,325.0
611,2017.10.24,3400.0,100.0,3295.0,3400.0,3295.0,3268.0
612,2017.10.23,3300.0,70.0,3545.0,3545.0,3230.0,2316.0
613,2017.10.20,3230.0,10.0,3230.0,3230.0,3000.0,4850.0
616,2017.10.19,3220.0,5.0,3270.0,3270.0,3200.0,657.0
617,2017.10.18,3225.0,565.0,3900.0,3900.0,3225.0,7614.0
618,2017.10.17,3790.0,280.0,3510.0,4035.0,3325.0,3902.0
619,2017.10.16,3510.0,0.0,3510.0,3510.0,3300.0,2246.0
620,2017.10.13,3510.0,90.0,3600.0,3600.0,3350.0,2755.0
624,2017.10.12,3600.0,50.0,3900.0,3900.0,3600.0,294.0
625,2017.10.11,3550.0,450.0,4200.0,4570.0,3505.0,1219.0
626,2017.10.10,4000.0,400.0,4600.0,4980.0,3740.0,1230.0
627,2017.09.29,4400.0,200.0,4250.0,4400.0,4250.0,4.0
628,2017.09.28,4200.0,300.0,3900.0,4200.0,3900.0,508.0
631,2017.09.27,3900.0,100.0,3900.0,3900.0,3900.0,1.0
632,2017.09.26,4000.0,400.0,4000.0,4000.0,4000.0,490.0
633,2017.09.25,3600.0,40.0,3600.0,3600.0,3600.0,663.0
634,2017.09.22,3640.0,30.0,3350.0,4220.0,3350.0,6630.0
635,2017.09.21,3670.0,530.0,4100.0,4100.0,3670.0,2357.0
639,2017.09.20,4200.0,0.0,4200.0,4200.0,4200.0,540.0
640,2017.09.19,4200.0,395.0,4200.0,4200.0,4200.0,241.0
641,2017.09.18,4595.0,95.0,4595.0,4595.0,4595.0,100.0
642,2017.09.15,4500.0,250.0,4250.0,4500.0,4250.0,1240.0
643,2017.09.14,4750.0,140.0,4800.0,4800.0,4160.0,702.0
646,2017.09.13,4890.0,110.0,4995.0,4995.0,4250.0,890.0
647,2017.09.12,5000.0,600.0,4500.0,5050.0,4500.0,755.0
648,2017.09.11,4400.0,0.0,4400.0,4400.0,4400.0,2.0
649,2017.09.08,4400.0,570.0,3830.0,4400.0,3830.0,216.0
650,2017.09.07,3830.0,420.0,4070.0,4070.0,3830.0,472.0
654,2017.09.06,4250.0,250.0,4250.0,4250.0,4250.0,240.0
655,2017.09.05,4500.0,95.0,4595.0,4595.0,4500.0,80.0
656,2017.09.04,4595.0,595.0,3800.0,4600.0,3670.0,974.0
657,2017.09.01,4000.0,150.0,3800.0,4000.0,3700.0,2447.0
658,2017.08.31,3850.0,50.0,3900.0,3900.0,3850.0,344.0
661,2017.08.30,3900.0,10.0,3925.0,4100.0,3900.0,712.0
662,2017.08.29,3910.0,290.0,4200.0,4200.0,3910.0,114.0
663,2017.08.28,4200.0,0.0,4200.0,4200.0,4200.0,68.0
664,2017.08.25,4200.0,0.0,3900.0,4600.0,3900.0,155.0
665,2017.08.24,4200.0,200.0,4200.0,4200.0,4200.0,502.0
669,2017.08.23,4400.0,350.0,4400.0,4400.0,4400.0,230.0
670,2017.08.22,4750.0,100.0,3990.0,4750.0,3990.0,110.0
671,2017.08.21,4650.0,50.0,4650.0,4650.0,4650.0,100.0
672,2017.08.18,4700.0,0.0,4700.0,4700.0,4700.0,0.0
673,2017.08.17,4700.0,305.0,4500.0,4700.0,4400.0,537.0
676,2017.08.16,4395.0,195.0,4400.0,4400.0,4100.0,510.0
677,2017.08.14,4590.0,10.0,4005.0,4590.0,4005.0,110.0
678,2017.08.11,4600.0,600.0,4350.0,4600.0,4350.0,610.0
679,2017.08.10,4000.0,610.0,4100.0,4100.0,4000.0,2340.0
680,2017.08.09,4610.0,510.0,4600.0,4610.0,3820.0,1820.0
684,2017.08.08,4100.0,20.0,4150.0,4350.0,4100.0,2445.0
685,2017.08.07,4120.0,175.0,4295.0,4330.0,4100.0,2150.0
686,2017.08.04,4295.0,195.0,4345.0,4345.0,4020.0,2606.0
687,2017.08.03,4100.0,430.0,4530.0,4530.0,4100.0,5696.0
688,2017.08.02,4530.0,320.0,4840.0,4840.0,4400.0,475.0
691,2017.08.01,4210.0,200.0,4990.0,4990.0,4100.0,1039.0
692,2017.07.31,4410.0,110.0,4890.0,4980.0,4410.0,12.0
693,2017.07.28,4520.0,480.0,5750.0,5750.0,4500.0,2509.0
694,2017.07.27,5000.0,0.0,5750.0,5750.0,5000.0,1202.0
695,2017.07.26,5000.0,100.0,5850.0,5850.0,4710.0,2682.0
699,2017.07.25,5100.0,0.0,5340.0,5340.0,4695.0,222.0
700,2017.07.24,5100.0,190.0,5590.0,5590.0,5100.0,2884.0
701,2017.07.21,5290.0,340.0,5290.0,5290.0,5290.0,1.0
702,2017.07.20,4950.0,0.0,4950.0,4950.0,4950.0,1.0
703,2017.07.19,4950.0,60.0,5000.0,5000.0,4950.0,4.0
706,2017.07.18,4890.0,190.0,4700.0,4890.0,4650.0,839.0
707,2017.07.17,4700.0,230.0,4590.0,4700.0,4590.0,2188.0
708,2017.07.14,4470.0,430.0,4470.0,4470.0,4470.0,435.0
709,2017.07.13,4900.0,100.0,4900.0,4900.0,4900.0,44.0
710,2017.07.12,4800.0,200.0,4800.0,4800.0,4800.0,1.0
714,2017.07.11,5000.0,200.0,5890.0,5890.0,4420.0,6337.0
715,2017.07.10,5200.0,400.0,5200.0,5200.0,5200.0,0.0
716,2017.07.07,5600.0,700.0,5630.0,5630.0,5600.0,10.0
717,2017.07.06,4900.0,100.0,5000.0,5000.0,4900.0,41.0
718,2017.07.05,5000.0,80.0,5000.0,5000.0,5000.0,500.0
721,2017.07.04,5080.0,180.0,5080.0,5080.0,5080.0,1.0
722,2017.07.03,4900.0,190.0,5090.0,5500.0,4550.0,3189.0
723,2017.06.30,5090.0,110.0,5090.0,5090.0,5090.0,0.0
724,2017.06.29,5200.0,100.0,4980.0,5200.0,4980.0,701.0
725,2017.06.28,5100.0,100.0,5490.0,5500.0,4650.0,1352.0
729,2017.06.27,5000.0,380.0,4650.0,5000.0,4650.0,1230.0
730,2017.06.26,4620.0,680.0,5200.0,5200.0,4550.0,962.0
731,2017.06.23,5300.0,330.0,6470.0,6470.0,4790.0,1949.0
732,2017.06.22,5630.0,730.0,5630.0,5630.0,5630.0,1.0
733,2017.06.21,4900.0,250.0,5750.0,5750.0,4380.0,7123.0
736,2017.06.20,5150.0,250.0,5790.0,5790.0,5150.0,206.0
737,2017.06.19,5400.0,400.0,4930.0,5650.0,4930.0,1212.0
738,2017.06.16,5800.0,340.0,6190.0,6190.0,5800.0,101.0
739,2017.06.15,5460.0,710.0,5390.0,5460.0,5390.0,18.0
740,2017.06.14,4750.0,830.0,5990.0,5990.0,4750.0,2733.0
744,2017.06.13,5580.0,290.0,5010.0,5580.0,4990.0,1135.0
745,2017.06.12,5870.0,130.0,5400.0,5870.0,5400.0,191.0
746,2017.06.09,6000.0,400.0,6000.0,6000.0,6000.0,500.0
747,2017.06.08,6400.0,200.0,6390.0,6400.0,6390.0,16.0
748,2017.06.07,6200.0,500.0,7640.0,7640.0,5700.0,1345.0
751,2017.06.05,6700.0,800.0,5050.0,6700.0,5020.0,1219.0
752,2017.06.02,5900.0,500.0,6190.0,6190.0,5000.0,1202.0
753,2017.06.01,5400.0,910.0,6490.0,6490.0,5400.0,68.0
754,2017.05.31,6310.0,810.0,5500.0,6310.0,5500.0,202.0
755,2017.05.30,5500.0,10.0,6200.0,6330.0,5200.0,105.0
759,2017.05.29,5510.0,560.0,5510.0,5510.0,5510.0,0.0
760,2017.05.26,6070.0,460.0,6070.0,6070.0,6070.0,1.0
761,2017.05.25,5610.0,990.0,5610.0,5610.0,5610.0,815.0
762,2017.05.24,6600.0,540.0,6600.0,6600.0,6600.0,4.0
763,2017.05.23,7140.0,1260.0,7140.0,7140.0,7140.0,266.0
766,2017.05.22,8400.0,810.0,8720.0,8720.0,6460.0,1006.0
767,2017.05.19,7590.0,970.0,7000.0,7590.0,7000.0,6.0
768,2017.05.18,6620.0,860.0,6620.0,6620.0,6620.0,1.0
769,2017.05.17,5760.0,750.0,5400.0,5760.0,5400.0,1869.0
770,2017.05.16,5010.0,880.0,5020.0,5880.0,5010.0,2042.0
774,2017.05.15,5890.0,120.0,5890.0,5890.0,5890.0,151.0
775,2017.05.12,5770.0,1010.0,5890.0,5900.0,5770.0,1540.0
776,2017.05.11,6780.0,880.0,6780.0,6780.0,6780.0,1.0
777,2017.05.10,5900.0,120.0,4920.0,5900.0,4920.0,1171.0
778,2017.05.08,5780.0,680.0,5790.0,5810.0,4340.0,1254.0
781,2017.05.04,5100.0,900.0,6000.0,6000.0,5100.0,670.0
782,2017.05.02,6000.0,0.0,5950.0,6000.0,5950.0,410.0
783,2017.04.28,6000.0,210.0,5840.0,6000.0,4930.0,1394.0
784,2017.04.27,5790.0,390.0,5790.0,5790.0,5790.0,1.0
785,2017.04.26,5400.0,600.0,5400.0,5400.0,5400.0,0.0
789,2017.04.25,6000.0,90.0,5500.0,6000.0,5250.0,232.0
790,2017.04.24,6090.0,50.0,6090.0,6090.0,6090.0,1.0
791,2017.04.21,6040.0,110.0,6040.0,6040.0,6040.0,0.0
792,2017.04.20,6150.0,30.0,5300.0,6150.0,5300.0,73.0
793,2017.04.19,6180.0,90.0,7170.0,7170.0,5400.0,25.0
796,2017.04.18,6270.0,30.0,6920.0,6920.0,5310.0,960.0
797,2017.04.17,6240.0,50.0,7110.0,7110.0,5280.0,3.0
798,2017.04.14,6190.0,0.0,6290.0,6290.0,6190.0,2.0
799,2017.04.13,6190.0,10.0,6200.0,7130.0,5310.0,560.0
800,2017.04.12,6200.0,210.0,6200.0,6200.0,5150.0,5.0
804,2017.04.11,5990.0,490.0,5990.0,5990.0,5990.0,1.0
805,2017.04.10,5500.0,800.0,5410.0,6290.0,5400.0,4151.0
806,2017.04.07,6300.0,100.0,7130.0,7130.0,6300.0,2.0
807,2017.04.06,6200.0,80.0,5800.0,6280.0,5800.0,846.0
808,2017.04.05,6280.0,40.0,6280.0,6280.0,6280.0,3.0
811,2017.04.04,6320.0,30.0,6320.0,6320.0,6320.0,0.0
812,2017.04.03,6350.0,150.0,6500.0,6500.0,6300.0,4719.0
813,2017.03.31,6500.0,100.0,6500.0,6500.0,6500.0,3500.0
814,2017.03.30,6600.0,200.0,6600.0,6600.0,6600.0,0.0
815,2017.03.29,6800.0,670.0,8590.0,8590.0,6350.0,150.0
819,2017.03.28,7470.0,970.0,7470.0,7470.0,7470.0,1.0
820,2017.03.27,6500.0,150.0,5800.0,6650.0,5800.0,644.0
821,2017.03.24,6650.0,250.0,6990.0,6990.0,6400.0,2246.0
822,2017.03.23,6400.0,100.0,7470.0,7470.0,6000.0,53.0
823,2017.03.22,6500.0,90.0,7550.0,7550.0,5610.0,19.0
826,2017.03.21,6590.0,750.0,6590.0,6590.0,6590.0,42.0
827,2017.03.20,7340.0,950.0,7340.0,7340.0,7340.0,1.0
828,2017.03.17,6390.0,10.0,6390.0,6390.0,6390.0,14.0
829,2017.03.16,6400.0,200.0,6400.0,6400.0,6390.0,220.0
830,2017.03.15,6200.0,50.0,7170.0,7170.0,6200.0,34.0
834,2017.03.14,6250.0,50.0,6250.0,6250.0,6250.0,70.0
835,2017.03.13,6300.0,500.0,6590.0,6590.0,6300.0,55.0
836,2017.03.10,5800.0,300.0,6500.0,6500.0,5210.0,142.0
837,2017.03.09,6100.0,100.0,6200.0,6200.0,6100.0,350.0
838,2017.03.08,6200.0,100.0,7240.0,7240.0,6150.0,726.0
841,2017.03.07,6300.0,650.0,6600.0,6600.0,6300.0,987.0
842,2017.03.06,6950.0,550.0,7500.0,7500.0,6510.0,212.0
843,2017.03.03,7500.0,800.0,7500.0,7500.0,7500.0,1.0
844,2017.03.02,6700.0,100.0,6600.0,7000.0,6510.0,409.0
845,2017.02.28,6600.0,0.0,6700.0,6700.0,6600.0,131.0
849,2017.02.27,6600.0,100.0,6750.0,7700.0,6600.0,1061.0
850,2017.02.24,6700.0,0.0,6700.0,6700.0,6700.0,556.0
851,2017.02.23,6700.0,0.0,6700.0,6700.0,6700.0,202.0
852,2017.02.22,6700.0,0.0,6700.0,6700.0,6700.0,0.0
853,2017.02.21,6700.0,100.0,6690.0,6700.0,6690.0,310.0
856,2017.02.20,6600.0,0.0,6690.0,6690.0,6500.0,1360.0
857,2017.02.17,6600.0,100.0,6600.0,6600.0,6600.0,501.0
858,2017.02.16,6500.0,100.0,6500.0,6500.0,6500.0,1000.0
859,2017.02.15,6600.0,100.0,6600.0,6600.0,6600.0,400.0
860,2017.02.14,6500.0,30.0,6600.0,6600.0,6490.0,5345.0
864,2017.02.13,6530.0,70.0,6600.0,6600.0,6400.0,578.0
865,2017.02.10,6600.0,100.0,6600.0,6600.0,6500.0,1668.0
866,2017.02.09,6500.0,400.0,6800.0,6800.0,6500.0,926.0
867,2017.02.08,6900.0,90.0,7000.0,7000.0,6900.0,318.0
868,2017.02.07,6990.0,280.0,7000.0,7000.0,6300.0,402.0
871,2017.02.06,6710.0,290.0,6990.0,6990.0,6710.0,150.0
872,2017.02.03,7000.0,200.0,7820.0,7820.0,7000.0,285.0
873,2017.02.02,6800.0,200.0,6890.0,6900.0,6800.0,2439.0
874,2017.02.01,7000.0,400.0,7400.0,7400.0,6900.0,673.0
875,2017.01.31,7400.0,100.0,7500.0,7500.0,7400.0,525.0
879,2017.01.26,7500.0,850.0,8000.0,8000.0,7500.0,552.0
880,2017.01.25,8350.0,150.0,8350.0,8350.0,8350.0,20.0
881,2017.01.24,8500.0,580.0,9000.0,9080.0,8500.0,1330.0
882,2017.01.23,9080.0,1180.0,9080.0,9080.0,9080.0,678.0
883,2017.01.20,7900.0,900.0,7500.0,8050.0,7500.0,422.0
886,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
887,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
888,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
889,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
890,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
901,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
902,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
903,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
904,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
905,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
916,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
917,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
918,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
919,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
920,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
931,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
932,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
933,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
934,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
935,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
946,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
947,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
948,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
949,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
950,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
961,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
962,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
963,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
964,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
965,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
976,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
977,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
978,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
979,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
980,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
991,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
992,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
993,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
994,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
995,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1006,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1007,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1008,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1009,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1010,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1021,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1022,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1023,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1024,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1025,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1036,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1037,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1038,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1039,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1040,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1051,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1052,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1053,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1054,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1055,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1066,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1067,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1068,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1069,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1070,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1081,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1082,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1083,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1084,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1085,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1096,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1097,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1098,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1099,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1100,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1111,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1112,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1113,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1114,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1115,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1126,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1127,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1128,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1129,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1130,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1141,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1142,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1143,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1144,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1145,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1156,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1157,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1158,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1159,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1160,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1171,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1172,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1173,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1174,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1175,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1186,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1187,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1188,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1189,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1190,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1201,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1202,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1203,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1204,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1205,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1216,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1217,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1218,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1219,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1220,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1231,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1232,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1233,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1234,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1235,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1246,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1247,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1248,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1249,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1250,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1261,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1262,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1263,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1264,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1265,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1276,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1277,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1278,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1279,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1280,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1291,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1292,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1293,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1294,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1295,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1306,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1307,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1308,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1309,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1310,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1321,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1322,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
1323,2017.01.17,7990.0,1410.0,8000.0,8100.0,7990.0,1741.0
1324,2017.01.16,9400.0,1650.0,9400.0,9400.0,9400.0,34.0
1325,2017.01.13,11050.0,1950.0,13000.0,13000.0,11050.0,4204.0
1336,2017.01.19,7000.0,990.0,8100.0,8100.0,7000.0,589.0
1337,2017.01.18,7990.0,0.0,9180.0,9180.0,6800.0,3795.0
